Clip_ID,Topic,Source_In,Source_Out,Duration,Transcript,Visual_Check,Audio_Check
1,"開場：台灣深山巨木現身",40.81,43.37,2.56,"終於，台灣深山裡的倚天劍出鞘了！","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
2,"找巨木的難題與傳統盲點",60.29,71.64,11.35,"談到找神木，很多人想到的可能是背著裝備走進森林，看到大樹就『不好意思我量一下』。但全台灣估計有9億5千萬棵樹，在複雜的深山老林裡，樹冠層層疊疊，站在樹下根本看不到樹頂。","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
3,"空載光達（LiDAR）技術調查",130.73,144.65,13.92,"所以農業部林業試驗所跟成功大學團隊發表在《森林與全球變遷前沿》的研究，動用了光達，也就是空載雷射掃描，從飛機上對著地面狂打雷射，捕捉地面與樹冠的回波，建構出超高解析度的樹冠高度模型。","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
4,"演算法初篩結果",167.16,173.18,6.02,"電腦過濾演算法一跑，哇，全台灣竟然有57065棵疑似超過65公尺的巨木！","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
5,"轉折：數據異常與地形誤差",192.45,193.77,1.32,"但，這不對勁啊！","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
6,"演算法誤差原因：陡坡與樹基誤判",231.11,246.45,15.34,"因為台灣的地形實在太崎嶇了，當光達掃描懸崖邊的短腿樹時，由於地面點雲極度分散，電腦無法正確判斷樹基的位置，導致高度嚴重被高估。如果一棵25公尺的樹長在65公尺的峭壁上，電腦會誤判這是一棵90公尺高的超級神木！","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
7,"白忙一場的荒謬感",285.33,294.11,8.78,"要是花4天重裝爬上山，才發現搞錯，也只能說：這幾天的晴愛與時光，終究是錯付了！","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
8,"過渡轉折：人眼的優勢",316.51,318.62,2.11,"演算法不懂懸崖，但人眼懂啊！","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
9,"公民科學家群眾外包計畫",334.32,355.96,21.64,"只是若一筆一筆用3D軟體看，看一棵樹就要花20分鐘，根本看不完。於是科學家在2021到2022年間，策劃大型的群眾外包計畫，他們把光達掃描出的最佳化3D剖面圖放上網，找來372位熱血的鄉民志工，用肉眼一張張去點擊樹木的頂點跟基部，排除了大量地形假訊號，把5萬多棵刪到剩4736棵。","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
10,"點雲分析與巨木地圖產出",375.67,386.13,10.46,"剩下92%的人工驗證工作量，然後專家再進行3D點雲分析，最終確認全台有941棵高度超過65公尺的巨木，並繪製成『台灣巨木地圖』。","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
11,"實地探勘與倚天劍現身",444.58,465.50,20.92,"有了地圖，團隊在2023年春節期間鎖定最猛的座標展開實地考察，經過20公里的溯溪跟兩天的陡坡重裝攀爬，攀樹師爬上樹頂，把量尺垂到地面，賓果！這棵位於雪山山脈大安溪流域的台灣杉，竟然高達84.1公尺，不僅是台灣第一，更奪下東亞已知最高樹的王座，研究團隊將它命名為『大安溪倚天劍』！","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
12,"原民稱呼與巨木森林碳吸存",564.55,585.90,21.35,"魯凱族人對這種高聳入雲的巨木則有一個更浪漫的稱呼：『撞到月亮的樹』。研究發現巨木森林的碳密度極高，2024年科學家在調查另一處巨木山谷時，發現該處森林的總碳密度高達每公頃1384.5公噸，是全球碳密度最高的環境之一，把大量溫室氣體鎖在巨大的木材裡，而且這還沒把龐大的根部系統算進去。","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
13,"氣候變遷威脅與巨木生長條件",719.71,729.20,9.49,"大家也知道，由於氣候變遷，山區的雲霧帶正在往上升，霧氣浸潤的頻率減少，這種靠葉片吸收水分續命的巨木，正面臨水力衰竭的威脅。","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
14,"颱風加劇與呼籲保育",761.07,779.93,18.86,"加上近年颱風威力越來越猛烈，過去40年來撲台颱風強度增加了35%，極端降雨引發的土石流隨時可能把這些長在陡峭坡面跟河谷上游的國寶直接帶走。這樣小潔要怎麼跟金碰面呢？龍貓要在哪吹陶笛呢？艾爾帕布的巨人何以為家呢？我知道這些都不是真的，那就讓我們保護好真的神木吧！","眼神聚焦直視鏡頭，手勢自然，無閉眼眨眼；講完話無多餘停留","句首微氣息起音，句尾字音落點立即俐落下刀（完全砍除講完後的發呆靜音）"
